,test_loss,test_pearson,test_spearmanr,test_runtime,test_samples_per_second,test_steps_per_second
0,0.679729700088501,0.7622307538986206,0.7475794630855807,12.2856,104.838,3.337
1,0.7543109059333801,0.7573352456092834,0.7534483367705729,12.5101,103.277,3.277
2,0.7958393692970276,0.7438618540763855,0.738210116669109,12.4954,103.318,3.281
3,0.7457409501075745,0.7529283165931702,0.7523769688430331,12.2416,105.623,3.349
4,0.759828507900238,0.7468656301498413,0.7419271348937282,12.3362,104.489,3.324
5,0.7378091216087341,0.757861852645874,0.7495377993140813,12.2958,104.751,3.334
6,0.6946406364440918,0.7708355188369751,0.7560151855729943,12.2563,105.415,3.345
7,0.6680254936218262,0.7493293881416321,0.7379670294035425,12.2289,105.896,3.353
8,0.9158225655555725,0.764193058013916,0.7499482933750667,12.234,105.689,3.351
9,0.6504145264625549,0.7705501914024353,0.7671144681113208,12.1951,106.026,3.362
