,Model,rho
0,Saluki C0,0.711215501725911
1,Saluki C1,0.7423736981236774
2,Saluki C2,0.731475061464832
3,Saluki C3,0.7398040426471512
4,Saluki C4,0.7409847338571558
5,CDS-LM,0.7504056579383419
6,Saluki Ensemble,0.7641120326938552
7,Saluki + CDS-LM,0.7834587071272946
